model_name,epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_precision_macro,val_recall_macro,lr_backbone,lr_head,img_size,batch_size,label_smooth,warmup_epochs,mixup,cutmix
resnet50,1,0.5224268003309003,0.2564467072203121,3.3995737441064544,0.0064013573962671605,0.009160500573951383,0.06897912298562,0.25333333333333335,9.757729755661012e-06,0.0004877665762479737,384,16,0.1,3,True,True
resnet50,2,0.47996221073474304,0.27808450145464164,3.345650823951485,0.010411846367422489,0.03581941139553869,0.08300740698019313,0.27066666666666667,9.054634122155991e-06,0.0004522637977440182,384,16,0.1,3,True,True
resnet50,3,0.4650243174750727,0.28775456228510976,3.2187427104521587,0.009100724973006324,0.029509795135886103,0.12238543788825323,0.265,7.959536998847742e-06,0.0003969669238105037,384,16,0.1,3,True,True
resnet50,1,1.0825660852205499,0.5678226659613859,0.9532732002789934,0.6306493907141756,0.4506816741031678,0.4255815152213935,0.6337039333467269,9.757729755661012e-06,0.000975530705321762,384,16,0.1,5,False,False
resnet50,2,0.980114957779307,0.6312979370536895,0.9266928947212776,0.6555606972080826,0.43377990770118335,0.41650468637890614,0.7106516075476046,9.054634122155991e-06,0.0009045180463377549,384,16,0.1,5,False,False
